E 	 lambda 	 status 	 time taken
36 	 6.0 	 OptimizationStatus.OPTIMAL 	 1421.1062286533415
34 	 7.0 	 OptimizationStatus.OPTIMAL 	 248.03822730481625
32 	 7.0 	 OptimizationStatus.OPTIMAL 	 1626.6351811829954
36 	 8.0 	 OptimizationStatus.OPTIMAL 	 241.0798463318497
34 	 8.0 	 OptimizationStatus.OPTIMAL 	 230.03489824198186
32 	 14.0 	 OptimizationStatus.OPTIMAL 	 295.1801719740033
36 	 7.0 	 OptimizationStatus.OPTIMAL 	 233.80920251086354
34 	 9.0 	 OptimizationStatus.OPTIMAL 	 406.4981714133173
32 	 13.0 	 OptimizationStatus.OPTIMAL 	 382.31108807586133
36 	 9.0 	 OptimizationStatus.OPTIMAL 	 2163.2695631459355
34 	 9.0 	 OptimizationStatus.OPTIMAL 	 461.1627117022872
32 	 14.0 	 OptimizationStatus.OPTIMAL 	 214.53382840938866
36 	 7.0 	 OptimizationStatus.OPTIMAL 	 721.4948522876948
34 	 8.0 	 OptimizationStatus.OPTIMAL 	 2629.310268871486
32 	 8.0 	 OptimizationStatus.OPTIMAL 	 572.233455054462
36 	 7.0 	 OptimizationStatus.OPTIMAL 	 1029.6236783545464
34 	 7.0 	 OptimizationStatus.OPTIMAL 	 878.4882915746421
32 	 8.0 	 OptimizationStatus.OPTIMAL 	 245.03885995037854
36 	 7.0 	 OptimizationStatus.OPTIMAL 	 2652.9978929702193
34 	 8.0 	 OptimizationStatus.OPTIMAL 	 228.19699480757117
32 	 14.0 	 OptimizationStatus.OPTIMAL 	 281.8195744045079
