E 	 lambda 	 status 	 time taken
36 	 7.0 	 OptimizationStatus.OPTIMAL 	 293.8497758526355
34 	 7.0 	 OptimizationStatus.OPTIMAL 	 903.1231420449913
32 	 7.0 	 OptimizationStatus.OPTIMAL 	 855.9072469379753
36 	 8.0 	 OptimizationStatus.OPTIMAL 	 2937.2646552007645
34 	 9.0 	 OptimizationStatus.OPTIMAL 	 598.0737126488239
32 	 9.0 	 OptimizationStatus.OPTIMAL 	 468.9217546135187
36 	 7.0 	 OptimizationStatus.OPTIMAL 	 2390.884166829288
34 	 8.0 	 OptimizationStatus.OPTIMAL 	 221.60415338538587
32 	 9.0 	 OptimizationStatus.OPTIMAL 	 1563.425714181736
36 	 7.0 	 OptimizationStatus.OPTIMAL 	 895.6870280560106
34 	 9.0 	 OptimizationStatus.OPTIMAL 	 367.98579995147884
32 	 9.0 	 OptimizationStatus.OPTIMAL 	 2156.6496289800853
36 	 14.0 	 OptimizationStatus.OPTIMAL 	 251.74657426774502
34 	 14.0 	 OptimizationStatus.OPTIMAL 	 270.6073295548558
32 	 14.0 	 OptimizationStatus.OPTIMAL 	 298.2783984001726
36 	 7.0 	 OptimizationStatus.OPTIMAL 	 201.5569514594972
34 	 8.0 	 OptimizationStatus.OPTIMAL 	 463.6489054840058
32 	 9.0 	 OptimizationStatus.OPTIMAL 	 2778.437608828768
36 	 7.0 	 OptimizationStatus.OPTIMAL 	 255.92791320197284
34 	 7.0 	 OptimizationStatus.OPTIMAL 	 219.30191076174378
32 	 9.0 	 OptimizationStatus.OPTIMAL 	 215.0135414712131
36 	 14.0 	 OptimizationStatus.OPTIMAL 	 196.53561411239207
34 	 14.0 	 OptimizationStatus.OPTIMAL 	 228.8066580630839
32 	 14.0 	 OptimizationStatus.OPTIMAL 	 297.6267066281289
36 	 7.0 	 OptimizationStatus.OPTIMAL 	 1854.0382546447217
34 	 14.0 	 OptimizationStatus.OPTIMAL 	 231.95500333420932
32 	 14.0 	 OptimizationStatus.OPTIMAL 	 215.45823796465993
36 	 9.0 	 OptimizationStatus.OPTIMAL 	 342.83166830800474
34 	 12.0 	 OptimizationStatus.OPTIMAL 	 274.8963621854782
32 	 14.0 	 OptimizationStatus.OPTIMAL 	 281.9747615531087
