Load: 4 Erlang 
Qlayer: 156 
Total traffic number: 20000 
traffic_id source_node destination_node establish
1 20 33 1
2 89 55 1
3 6 67 1
4 7 21 1
5 66 45 1
6 22 84 1
7 75 62 1
8 85 51 1
9 67 57 1
10 62 25 1
11 27 90 1
12 1 65 1
13 59 16 1
14 94 41 1
15 40 68 1
16 58 72 1
17 19 96 1
18 88 29 1
19 74 81 1
20 85 7 1
21 54 75 1
22 59 22 1
23 54 23 1
24 43 50 1
25 58 52 1
26 82 69 1
27 17 47 1
28 68 64 1
29 1 59 1
30 64 62 1
31 61 29 1
32 87 14 1
33 58 8 1
34 59 41 1
35 46 26 1
36 7 29 1
37 64 100 1
38 9 36 1
39 72 30 1
40 27 32 1
41 9 33 1
42 20 18 1
43 62 54 1
44 54 70 1
45 15 60 1
46 4 84 1
47 44 3 1
48 12 76 1
49 86 83 1
50 39 42 1
51 50 33 1
52 48 92 1
53 35 58 1
54 46 63 1
55 78 17 1
56 66 33 1
57 31 4 1
58 94 67 1
59 70 26 1
60 61 94 1
61 56 86 1
62 28 2 1
63 35 81 1
64 27 42 1
65 74 21 1
66 61 42 1
67 1 23 1
68 78 40 1
69 79 28 1
70 71 12 1
71 87 38 1
72 25 66 1
73 94 15 1
74 50 47 1
75 79 20 1
76 44 84 1
77 80 51 1
78 61 41 1
79 21 44 1
80 75 12 1
81 24 64 1
82 36 29 1
83 16 61 1
84 32 93 1
85 15 35 1
86 81 69 1
87 25 17 1
88 26 12 1
89 68 94 1
10007 75 62 0
90 66 72 1
91 20 63 1
92 47 43 1
93 71 11 1
94 73 83 1
95 92 97 1
96 8 16 1
97 37 50 1
98 35 83 1
99 23 33 1
100 90 40 1
101 46 63 1
102 68 74 1
103 84 4 1
104 99 11 1
105 49 52 1
106 48 52 1
107 87 29 1
108 89 48 1
109 55 96 1
110 2 45 1
111 66 74 1
112 75 32 1
113 60 11 1
114 33 82 1
115 80 66 1
116 70 25 1
117 99 74 1
118 23 73 1
119 62 1 1
120 85 11 1
121 40 27 1
122 16 50 1
123 93 46 1
